,Column1,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,0,batsambo,"Motorbikes, eating, golf, hockey (a bit) and apparently old school wwe. All views are my own unless I've been hacked",,401,213,1605,0,@fakemegryan1 You should have a SuperbOwl party on the 13th of Feb,[]
1,1,Malrdshot,"Retired...Principal Owner of Freestyling Sales,LLC.","St Paul, MN",68,208,254,0,@Gorgamatic21 #12 next @Gorgamatic21 ??????  Superbowl bound!!!!!,[]
2,2,SozaCharts,"MLT in Toxicology ?? Published Scientist ?? , CEO / President of @samiaesthetics on IG / Real-estate Investor ?? , Oswego 20’?? #ManCity??","New York, USA",1317,1493,17927,0,Cheifs are taking the superbowl,[]
3,3,BigDan_14,,"Mechanicsburg, PA",66,17,18,0,"@DAonCBS @MrazCBS DAlien since 2018, joined Twitter just to show my love for the show! Caught the first hour of the show in my car, and will catch the rest later today on Audacy. Rams for my Superbowl pick. Can I get a beam up?! #UnPipeIt #HaveATaste #AmIDoingThisRight","['UnPipeIt', 'HaveATaste', 'AmIDoingThisRight']"
4,4,Brandominous,gamer who plays gamez,undisclosed,63,27,105,0,@placervilledude @plains_men @natalielphie @jeffrey_condon @JJDEMARAY wow so what ur saying is in the nfl games arent decided by qb vs qb? and u dont need a top 5 qb to win a superbowl? wow mindblowing stuff,[]
5,5,SBergerBOSTON,"3x brain tumor survivor #FCancer Raise awareness for brain tumor research.
Husband, Dad, The Berg, card collector & proud ASU Sun Devil Alum!",AZ via Americas home town,3906,4462,97730,0,Love looking at this frame in my office from when I was a cart driver driving coaches from the skybox to the locker room for #SuperBowl XXX on this date in 1996.   Small fact. Refused to drive the Steelers coaches.  You're welcome #Cowboys fans for that championship. https://t.co/M1naDVklDW,"['SuperBowl', 'Cowboys']"
6,6,russ_ewert,Uniting all nations on Earth on this God and Jesus Christ based calendar system. You heard it here first       https://t.co/3H5NCKeNwe,"Niagara Falls, NY",21,84,3103,0,Who thinks the Super Bowl should be on Saturday night? #SBLVI #SuperBowl #Saturday https://t.co/gma0aVzcli https://t.co/a6vPZOb3ep,"['SBLVI', 'SuperBowl', 'Saturday']"
7,7,johnbreech,"NFL writer for @CBSSports, @PickSixPod Super friend. 4-time turtle owner. 0-time horse owner. Want me to live tweet your kids birthday party? johnnybbad18@gmail",Nashville via SD-OAK-ATL-CIN,908,10312,24448,0,"Price is Right predicted before the season that the Bengals would make it to the Super Bowl and now that they're one game away, I'm starting to think that maybe we should just let Price is Right predict everything @DrewFromTV #Bengals #SuperBowl https://t.co/OETIVAHvc3","['Bengals', 'SuperBowl']"
8,8,CToddMcCormick1,HELPING GOOD THINGS HAPPEN TO NICE PEOPLE.,NYC,1191,47,610,0,I'M HAVING SOME BUYERS' REMORSE OVER ORDERING THE 35 POUND COLD CUT/CHEESE/DIP STADIUM FOR SUPERBOWL SUNDAY FOR ME AND THE DOG.,[]
9,9,SoumDesigns,Scandal fan,,51,16,1517,8,Two years ago Jennifer Lopez raised the bar to a new level with her legendary Superbowl halftime performance ?? ?? https://t.co/eO7w0pgo8m,[]
10,10,TravisThomasExp,Media Mogul https://t.co/0vFVjrrIPc,The DMV,710,2539,5710,1,@TravisThomasExp it's going to be Bengals VS Rams! In the Superbowl! RAMS WINS SUPERBOWL,[]
11,11,tarekdj31,bin,,1619,814,1067,275,@PepsiStronger History In The Making The @SuperBowl #PepsiHalftime Show @RocNation https://t.co/C7L22tnBcy,['PepsiHalftime']
12,12,rebeleus,"Guitarist, family man, remodeler. I am a mod dem. voted a few rep in way past (ill gov). never again. USA first. USA = all diffy race, color, religion thats it!",chicago burbs,133,83,1003,0,@nathaliejacoby1 like yesterday... It was a shock.. so sad....It silenced the Chicago Bears superbowl win here in Chicago... I recorded it on VHS tape that night from the news...,[]
13,13,paradiseRIH,probably listening to whitney,,331,200,29976,0,abels superbowl ate idc especially the beginning with the choir,[]
14,14,Rudolph218,"Husband, Weimaraner owner, upland bird hunter, Skol Vikings and Let's Go Wild","Kansas City, MO",835,299,10541,0,"@4WhomJBellTolls I'm a Vikings fan living in KC, so I donated $16 to my fellow 0 Superbowl brethren. I came up with $16 because both the Vikings have been to, and lost 4 SB's. 4+4+4+4=16",[]
15,15,StevenMulhern1,I'm a USA JUDO Visually impaired brown belt Athlete from South Philly. I'm here to have Fun Never Ever Give Up!,"Philadelphia, PA",1009,391,14654,1,@TravisThomasExp it's going to be Bengals VS Rams! In the Superbowl! RAMS WINS SUPERBOWL,[]
16,16,Asc6x25x7,"Hardcore since 84, Oakland - L.A. - Las Vegas -Tijuana Raiders, L.A Dodgers, L..A Lakers, LA. Kings",,368,170,6708,35,"No division wins 
No playoff wins
No conference wins 
No superbowl wins
Yet we afraid of change like we world beaters",[]
17,17,ravsurya,"46yo from cincy, living life...having fun #Cure Lupus","South Lamar, Austin",241,40,339,0,"@Bengals SuperBowl Bound...
PUT THAT IN UR PIPE &amp; SMOKE IT! https://t.co/P9Jv9eO1Jo",[]
18,18,senorhi3bs,"#NHL - Jets & Avalanche 
#NFL - Vikings
#MLB - Indians
#CFL - Blue Bombers
Hockey Canada ????
DC ?
MARVEL ?",,612,54,6363,0,@PurpleForTheWin Vikings lost by 31 points in the NFC championship. They definitely should not have been in the superbowl,[]
19,19,JiggaCJ,Join the best community on the planet https://t.co/FnUQNkJb35 ????,Bay Area,18,7,156,6,??????BAY APES TO THE MF SUPERBOWL??LETS GO @49ers ??BIG STEPPIN???? #49ers #TheBayApes #BigSteppin #SuperBowlLVI,"['49ers', 'TheBayApes', 'BigSteppin', 'SuperBowlLVI']"
